time,target
0,"0,15538457"
"0,2","0,19218731"
"0,4","0,21955897"
"0,6","0,25272495"
"0,8","0,27619654"
1,"0,30205208"
"1,2","0,3201021"
"1,4","0,34392959"
"1,6","0,36863774"
"1,8","0,38350949"
2,"0,39588323"
"2,2","0,41370314"
"2,4","0,42524999"
"2,6","0,4328948"
"2,8","0,44525194"
3,"0,45754316"
"3,2","0,46754628"
"3,4","0,47860983"
"3,6","0,4834187"
"3,8","0,48987001"
4,"0,49815458"
"4,2","0,50329679"
"4,4","0,50789839"
"4,6","0,50670975"
"4,8","0,51317883"
5,"0,51829171"
"5,2","0,52134204"
"5,4","0,52448177"
"5,6","0,52820116"
"5,8","0,53132457"
6,"0,53435761"
"6,2","0,53442413"
"6,4","0,54021734"
"6,6","0,54380506"
"6,8","0,53939128"
7,"0,54148614"
"7,2","0,54546654"
"7,4","0,54463661"
"7,6","0,54707104"
"7,8","0,55230409"
8,"0,55036986"
"8,2","0,55122036"
"8,4","0,55414206"
"8,6","0,55223978"
"8,8","0,55737722"
9,"0,55650663"
"9,2","0,55523479"
"9,4","0,55398095"
"9,6","0,55875427"
"9,8","0,56029505"
10,"0,55811691"
"10,2","0,55691761"
"10,4","0,56613469"
"10,6","0,56400055"
"10,8","0,56383818"
11,"0,564053"
"11,2","0,5622735"
"11,4","0,56263584"
"11,6","0,56394958"
"11,8","0,56521773"
12,"0,56558508"
"12,2","0,56528008"
"12,4","0,5664317"
"12,6","0,56690866"
"12,8","0,56360054"
13,"0,56821531"
"13,2","0,5678004"
"13,4","0,56707686"
"13,6","0,5715887"
"13,8","0,56864703"
14,"0,56884062"
"14,2","0,56932145"
"14,4","0,56606019"
"14,6","0,56915617"
"14,8","0,56365854"
15,"0,56863236"
"15,2","0,57108539"
"15,4","0,5670957"
"15,6","0,56798583"
"15,8","0,56684822"
16,"0,57084721"
"16,2","0,57068807"
"16,4","0,56891185"
"16,6","0,56981921"
"16,8","0,57184374"
17,"0,56784648"
"17,2","0,56923771"
"17,4","0,57041585"
"17,6","0,57067531"
"17,8","0,56596273"
18,"0,57083774"
"18,2","0,56846952"
"18,4","0,56626797"
"18,6","0,57001626"
"18,8","0,56888568"
19,"0,56919396"
"19,2","0,57041705"
"19,4","0,57013685"
"19,6","0,56835312"
"19,8","0,57040161"
20,"0,56890941"
"20,2","0,57048506"
"20,4","0,56784195"
"20,6","0,5708639"
"20,8","0,56816465"
21,"0,56802952"
"21,2","0,5675922"
"21,4","0,5718385"
"21,6","0,56934303"
"21,8","0,57026476"
22,"0,56765342"
"22,2","0,56965327"
"22,4","0,56928235"
"22,6","0,56560814"
"22,8","0,5656181"
23,"0,57078218"
"23,2","0,56979108"
"23,4","0,5648728"
"23,6","0,56769735"
"23,8","0,56892532"
24,"0,56929541"
"24,2","0,56756854"
"24,4","0,56728882"
"24,6","0,56559348"
"24,8","0,56634635"
25,"0,56827134"
"25,2","0,56616873"
"25,4","0,5636571"
"25,6","0,57161254"
"25,8","0,5651682"
26,"0,56568235"
"26,2","0,56709743"
"26,4","0,56230932"
"26,6","0,56714147"
"26,8","0,5618763"
27,"0,56970185"
"27,2","0,56512219"
"27,4","0,5651862"
"27,6","0,56351888"
"27,8","0,56465656"
28,"0,56490469"
"28,2","0,56303418"
"28,4","0,56730282"
"28,6","0,56764954"
"28,8","0,56503081"
29,"0,56877357"
"29,2","0,56537873"
"29,4","0,56292009"
"29,6","0,5624333"
"29,8","0,56566048"
30,"0,56692874"
"30,2","0,56256413"
"30,4","0,56454229"
"30,6","0,56213373"
"30,8","0,56345052"
31,"0,5666064"
"31,2","0,5612883"
"31,4","0,56608462"
"31,6","0,56666833"
"31,8","0,56248587"
32,"0,56706178"
"32,2","0,56407374"
"32,4","0,56503397"
"32,6","0,55971605"
"32,8","0,56281072"
33,"0,55796123"
"33,2","0,56506956"
"33,4","0,55975378"
